"","substanceBXH","geneSymbol","LocusLinkID","moduleColor","GS.weight","p.GS.weight","MM.brown","p.MM.brown","MM.red","p.MM.red","MM.salmon","p.MM.salmon","MM.blue","p.MM.blue","MM.black","p.MM.black","MM.turquoise","p.MM.turquoise","MM.tan","p.MM.tan","MM.yellow","p.MM.yellow","MM.midnightblue","p.MM.midnightblue","MM.cyan","p.MM.cyan","MM.lightcyan","p.MM.lightcyan","MM.grey","p.MM.grey","MM.lightgreen","p.MM.lightgreen","MM.pink","p.MM.pink","MM.greenyellow","p.MM.greenyellow","MM.purple","p.MM.purple","MM.magenta","p.MM.magenta","MM.grey60","p.MM.grey60","MM.green","p.MM.green"
"MMT00030014","MMT00030014","9130422G05Rik",66819,"black",-0.579795030629117,2.12549413211567e-13,-0.555121378070083,3.38710652693638e-12,-0.551871478313098,4.79655513161643e-12,-0.483975017079004,3.13621624948344e-09,-0.278779150423027,0.00110713673977463,0.501878695640218,6.50278707559097e-10,0.45239910492071,4.07206606922993e-08,-0.326190162224822,0.00011991662491687,-0.181339458643466,0.0360017513883798,0.118902437050579,0.171199495126462,-0.287685719724081,0.000750182561481877,0.337039566330171,6.8303861397426e-05,-0.145527824587177,0.0933923898805918,0.0520590867655066,0.5502490365811,-0.274390759629734,0.00133496233133161,0.0851541079209082,0.327939137827067,-0.000180897058058796,0.998344856306647,-0.0232488951192837,0.789746260451104,0.0988171617805517,0.255974399778677,0.439099886705805,1.11187936525304e-07
"MMT00035294","MMT00035294","BC010552",213603,"black",0.460825326453034,2.10684295981594e-08,0.505643124500813,4.61681137833341e-10,0.519812766960631,1.22425696167183e-10,0.386056132160496,4.08628226600947e-06,0.236040451372519,0.00603863176889129,-0.57334766932887,4.48072165821935e-13,-0.516375300094595,1.69888264253016e-10,0.422410946887268,3.6963194310431e-07,0.37563674255316,7.73176396579172e-06,-0.204596851204103,0.0177240576684558,0.154246258383957,0.0751632604714135,-0.572897820177483,4.71719422233075e-13,0.142488653125358,0.100514612697427,-0.106606017774814,0.220202617981082,0.300022127390362,0.000428361653000409,0.06052297499522,0.487257381269461,0.168014230212554,0.0523187324202118,0.0197517995795246,0.820794184497993,-0.00515074187717786,0.952899587764459,-0.527101605200318,6.03728242576731e-11
"MMT00074983","MMT00074983","Gpx4",14779,"black",0.443247261836876,8.16595266820771e-08,0.595092793814678,3.38732689476107e-14,0.636965056261017,1.30402636162484e-16,0.241118702400838,0.00500777227280123,0.364674696035257,1.47754892380336e-05,-0.585523477276883,1.08061475193322e-13,-0.354364021451909,2.66000558249909e-05,0.196206450773815,0.0230800354702263,0.28755422422904,0.00075457574577359,-0.231554562982465,0.00710218101843873,0.0422254536061702,0.628079472203161,-0.38485100029459,4.40401264322478e-06,0.0151202555082219,0.862337237419812,-0.132030611588483,0.128332235925624,0.208750964407847,0.0154966972397879,-0.0167700421952013,0.84748991986016,-0.0206252820708899,0.813011147218809,-0.0526065337857679,0.546057934061541,-0.0477568457760989,0.583720025165215,-0.384421373103083,4.52283635582727e-06
"MMT00030149","MMT00030149","Gpx4",14779,"black",0.418985342204968,4.69279952942409e-07,0.569351928390716,7.05605130438401e-13,0.619879718406028,1.39355941536552e-15,0.238744471410351,0.00546834682980265,0.346545406111655,4.09919631076585e-05,-0.582338519009206,1.57660402796312e-13,-0.364232688780326,1.51589613801661e-05,0.194859693594065,0.0240578314414717,0.288885062062988,0.00071118348178191,-0.25686880364308,0.0027349890274838,0.0280168496063915,0.747950357463664,-0.407731465181168,1.00930095516364e-06,0.00501216287097214,0.954165410776025,-0.111720001691372,0.198735043572548,0.233933032022833,0.00651920419427464,-0.0127346507200496,0.883890533666865,-0.00190024929637042,0.982614743164957,-0.0384356928789565,0.659270944652478,-0.0518162102980168,0.552113433207424,-0.404320693770798,1.26604530412448e-06
"MMT00007987","MMT00007987","Gpx4",14779,"black",0.409411089078991,9.01878883359166e-07,0.551351207700846,5.06953193610016e-12,0.558161853817941,2.437693537847e-12,0.300956408594769,0.000410144370932046,0.241785042958948,0.00488489960565033,-0.652477496567055,1.32989228986725e-17,-0.278889028432427,0.00110191847385341,0.356264830850965,2.39039676308447e-05,0.52343202629229,8.63630471710787e-11,-0.231125139825444,0.00721223161019886,0.0290488159701361,0.738995133264194,-0.464860369019365,1.52695973566935e-08,0.0219647253964213,0.801111866837711,-0.079991212645199,0.358219273756319,0.034080909706244,0.695847064983711,-0.0252904317915054,0.771769133216422,-0.0361345787044779,0.678504585191559,-0.0457419881522943,0.599711166184681,-0.0699497450486951,0.421902374006871,-0.417133799133585,5.33318105471097e-07
"MMT00042811","MMT00042811","Pigr",18703,"black",-0.401648242375014,1.5094303875152e-06,-0.481227663351374,3.96116082615809e-09,-0.532397441535266,3.57386528510808e-11,-0.474436669317873,6.99362884579981e-09,-0.268825151983424,0.00168517995254044,0.579583618793226,2.17867809035975e-13,0.216107782297647,0.0121450783265634,0.00761157642454829,0.93044406035598,-0.142438232171337,0.100636283866833,0.438871886205003,1.130773007104e-07,-0.0500156335310894,0.566030058019699,0.242883701921338,0.00468818612727922,-0.0173052331802675,0.842684657856168,0.129098180348851,0.137107993007033,-0.222987660590691,0.00960374837828026,0.0363592122422448,0.676617610316712,0.106984115496099,0.218561272380086,-0.0901866984603292,0.300053186660309,0.0982221756939576,0.258862269309898,0.490701826100841,1.75500584009945e-09
"MMT00016413","MMT00016413","Il1rn",16181,"black",-0.399827666010592,1.70002913348309e-06,-0.394168805768708,2.44927029059573e-06,-0.466474437451607,1.34089789586331e-08,-0.459375623751396,2.36276779133524e-08,-0.151368415249813,0.0808327294283757,0.909511141148202,3.60986090063545e-52,0.397587440754271,1.96600679656613e-06,-0.346112933417422,4.19704271248275e-05,-0.41217374710911,7.48482557178868e-07,0.275412148425687,0.00127841553368722,-0.178446202671197,0.0391221798028051,0.45117129354007,4.47583307508998e-08,-0.0505287603876277,0.562047196604374,0.113783577360338,0.19051536835187,-0.178765642795765,0.0387668702578095,-0.120866612881979,0.164186050186966,-0.0739632818675855,0.395697855428878,-0.0601015136485493,0.490300293531559,0.076258786646205,0.38115770410625,0.546867042065397,8.13663069364053e-12
"MMT00037893","MMT00037893","A830093I24Rik",207921,"black",-0.392274791028844,2.76352123081499e-06,-0.516919096545691,1.61346321881722e-10,-0.612233015237195,3.84215281116625e-15,-0.426957176778754,2.6817333403556e-07,-0.375725766148601,7.69046085897385e-06,0.540109267815898,1.63836882939737e-11,0.414815034835434,6.25305530019948e-07,-0.283749482306489,0.00089238515276266,-0.195025596525422,0.0239354934898434,0.0205558549914286,0.813629110262705,-0.22896934263887,0.00778789024272698,0.329495077122519,0.000101247582181389,0.0787600353692299,0.365688994219476,0.0428337380403219,0.623131760548447,-0.196408163289572,0.0229365631392294,-0.0499884184476298,0.566241673398675,-0.0607100454742415,0.485909987206084,0.0297519277160716,0.732913551977147,0.0328453396293965,0.706357983044295,0.273834701479641,0.00136669739542924
"MMT00025736","MMT00025736",NA,NA,"black",-0.391783701120336,2.85103946611706e-06,-0.371315107756354,1.00088695905574e-05,-0.463320225472617,1.72744147125309e-08,-0.470458501707045,9.70167181390964e-09,-0.14102718828143,0.104088580418435,0.920515827286363,1.00074077488963e-55,0.427327779392039,2.61195336475915e-07,-0.444552777436394,7.40354273206421e-08,-0.473215011160656,7.73653989628073e-09,0.281332416866292,0.000991533878516865,-0.194290754059271,0.0244814505481406,0.534986032689997,2.75672591886318e-11,-0.0986582135621822,0.256743707835992,0.0246164200604489,0.777691399992126,-0.167677048978097,0.0528002094105179,-0.114283573546636,0.188561560020916,-0.139016469161069,0.10916794881418,-0.0193384127794279,0.824483746579435,0.0509271078868758,0.558964505440633,0.595649365702002,3.16256883748355e-14
"MMT00050660","MMT00050660","1110005L13Rik",66125,"black",-0.391768267955586,2.85383199820904e-06,-0.375037234888913,8.01541756940746e-06,-0.47317427620314,7.76257398091935e-09,-0.4389298600596,1.12593999970733e-07,-0.168585648205215,0.0515110674377814,0.912112491897808,5.74392592868233e-53,0.41596004955369,5.78138929863587e-07,-0.422453153323414,3.68540419105356e-07,-0.467755615774173,1.20891060291195e-08,0.253005459686643,0.00318335453004829,-0.171669465721254,0.0473283952324387,0.484484251856709,3.00268298529319e-09,-0.0898384184427976,0.301931126204416,0.0943949436815322,0.277971336343202,-0.15682028796858,0.0703683819762627,-0.113140823442285,0.193048616440557,-0.14685754721439,0.0904048691005883,-0.00239999658082384,0.978043610151341,0.0163918569104556,0.850888885418728,0.553027696208169,4.23993416986163e-12
